orden_id,producto_id,cantidad,precio_unit
ORD000001,SKU00441,5,15330
ORD000001,SKU00269,5,155784
ORD000001,SKU00350,5,228258
ORD000001,SKU00054,5,108453
ORD000002,SKU00234,3,255393
ORD000002,SKU00018,2,219537
ORD000002,SKU00545,1,235078
ORD000002,SKU00240,1,184231
ORD000003,SKU00302,3,106801
ORD000003,SKU00400,5,115781
ORD000006,SKU00337,2,53098
ORD000006,SKU00102,4,29365
ORD000006,SKU00273,4,61068
ORD000013,SKU00389,2,166190
ORD000013,SKU00412,4,67527
ORD000018,SKU00108,5,166.78
ORD000021,SKU00325,4,80.95
ORD000021,SKU00217,4,69.35
ORD000021,SKU00023,4,79.09
ORD000021,SKU00422,3,418.67
ORD000021,SKU00046,5,179.23
ORD000024,SKU00482,3,163290
ORD000024,SKU00454,5,46002
ORD000026,SKU00525,1,144331
ORD000026,SKU00430,2,208569
ORD000027,SKU00269,1,288.49
ORD000033,SKU00442,4,14974
ORD000033,SKU00102,1,29365
ORD000033,SKU00391,2,39684
ORD000033,SKU00221,5,265329
ORD000033,SKU00052,4,3018
ORD000035,SKU00420,1,236811
ORD000035,SKU00032,3,37945
ORD000036,SKU00250,1,10.81
ORD000036,SKU00140,4,101.48
ORD000036,SKU00342,2,467.98
ORD000036,SKU00013,5,298.25
ORD000040,SKU00251,2,8262
ORD000040,SKU00417,2,73591
ORD000040,SKU00056,3,135388
ORD000046,SKU00491,4,108118
ORD000046,SKU00439,2,6593
ORD000046,SKU00527,2,186705
ORD000052,SKU00532,4,179.55
ORD000052,SKU00386,2,352.24
ORD000052,SKU00255,5,40.33
ORD000052,SKU00299,1,56.47
ORD000052,SKU00413,5,261.9
ORD000054,SKU00156,4,83451
ORD000054,SKU00241,5,160704
ORD000054,SKU00143,5,7700
ORD000054,SKU00507,5,122617
ORD000054,SKU00207,4,170812
ORD000062,SKU00233,3,91.87
ORD000062,SKU00368,2,355.58
ORD000062,SKU00198,2,366.18
ORD000062,SKU00422,3,418.67
ORD000063,SKU00143,1,14.26
ORD000063,SKU00340,2,138.73
ORD000063,SKU00110,3,188.42
ORD000063,SKU00119,3,75.01
ORD000063,SKU00429,5,182.49
ORD000067,SKU00092,3,417.72
ORD000067,SKU00129,5,472.47
ORD000067,SKU00031,3,119.51
ORD000068,SKU00320,3,307.81
ORD000068,SKU00391,2,73.49
ORD000068,SKU00048,2,404.74
ORD000069,SKU00110,5,101746
ORD000070,SKU00504,2,55.19
ORD000070,SKU00153,3,221.89
ORD000070,SKU00266,5,177.9
ORD000076,SKU00290,1,19872
ORD000076,SKU00091,5,203974
ORD000076,SKU00127,4,262207
ORD000077,SKU00256,3,98.79
ORD000077,SKU00003,2,396.42
ORD000077,SKU00440,3,395.21
ORD000077,SKU00240,5,341.17
ORD000080,SKU00246,4,81399
ORD000084,SKU00010,2,90892
ORD000084,SKU00124,4,53573
ORD000084,SKU00079,3,266646
ORD000089,SKU00477,1,71830
ORD000089,SKU00513,2,64265
ORD000089,SKU00033,3,183114
ORD000094,SKU00289,1,190976
ORD000094,SKU00217,5,37449
ORD000095,SKU00068,1,167481
ORD000095,SKU00226,4,80578
ORD000095,SKU00025,5,203682
ORD000095,SKU00011,1,7219
ORD000095,SKU00309,1,173183
ORD000100,SKU00047,4,388.42
ORD000100,SKU00473,1,66.82
ORD000100,SKU00165,2,262.56
ORD000100,SKU00233,3,91.87
ORD000107,SKU00411,4,32783
ORD000107,SKU00488,2,61014
ORD000109,SKU00007,5,187.3
ORD000109,SKU00356,5,442.22
ORD000109,SKU00027,2,234.06
ORD000117,SKU00026,1,453.44
ORD000117,SKU00074,2,298.81
ORD000117,SKU00462,1,334.31
ORD000117,SKU00476,4,222.59
ORD000119,SKU00286,4,196187
ORD000119,SKU00455,2,11048
ORD000123,SKU00340,5,74914
ORD000123,SKU00176,3,212079
ORD000123,SKU00465,3,46758
ORD000123,SKU00171,2,64103
ORD000126,SKU00307,3,126.05
ORD000126,SKU00244,3,347.72
ORD000126,SKU00034,5,232.89
