orden_id,cliente_id,fecha,canal,moneda,total
ORD000001,CL00920,2024-08-02T12:08:37,TELEFONO,CRC,2539125
ORD000002,CL00119,2025-12-07T01:07:03,TELEFONO,CRC,1624562
ORD000003,CL02214,2025-08-31T13:42:33,PARTNER,CRC,899308
ORD000006,CL01851,2024-03-24T14:00:59,PARTNER,CRC,467928
ORD000013,CL01641,2024-03-12T10:59:44,TELEFONO,CRC,602488
ORD000018,CL01548,2024-09-18T08:04:52,TIENDA,USD,833.9
ORD000021,CL02771,2024-10-04T14:07:33,TELEFONO,USD,3069.72
ORD000024,CL02420,2025-05-30T16:57:04,TELEFONO,CRC,719880
ORD000026,CL00953,2024-01-09T19:00:39,WEB,CRC,561469
ORD000027,CL02233,2024-05-10T12:08:22,PARTNER,USD,288.49
ORD000033,CL02186,2025-09-28T01:02:12,PARTNER,CRC,1507346
ORD000035,CL01602,2025-02-28T23:08:04,TELEFONO,CRC,350646
ORD000036,CL01905,2025-05-02T19:20:01,WEB,USD,2843.94
ORD000040,CL02242,2024-03-11T15:53:00,TIENDA,CRC,569870
ORD000046,CL03103,2025-12-20T09:46:38,TELEFONO,CRC,819068
ORD000052,CL00007,2024-08-01T06:00:03,WEB,USD,2990.3
ORD000054,CL01664,2024-01-03T00:37:54,WEB,CRC,2472157
ORD000062,CL01420,2025-05-27T02:31:16,PARTNER,USD,2975.14
ORD000063,CL01862,2024-01-18T00:18:05,APP,USD,1994.46
ORD000067,CL00822,2024-05-10T18:47:59,TIENDA,USD,3974.04
ORD000068,CL00048,2025-05-24T23:27:27,PARTNER,USD,1879.89
ORD000069,CL01802,2025-03-05T07:54:40,PARTNER,CRC,508730
ORD000070,CL00361,2024-12-06T07:00:23,TIENDA,USD,1665.55
ORD000076,CL01462,2024-09-19T18:50:11,WEB,CRC,2088570
ORD000077,CL03171,2024-07-19T17:35:05,TELEFONO,USD,3980.69
ORD000080,CL00121,2024-05-01T22:25:03,PARTNER,CRC,325596
ORD000084,CL00404,2025-08-18T20:18:54,TIENDA,CRC,1196014
ORD000089,CL00746,2024-10-20T17:00:43,TELEFONO,CRC,749702
ORD000094,CL00040,2024-08-10T06:23:02,TELEFONO,CRC,378221
ORD000095,CL02205,2024-08-15T18:08:18,TELEFONO,CRC,1688605
ORD000100,CL02039,2025-06-02T03:21:23,PARTNER,USD,2421.23
ORD000107,CL02799,2024-07-30T04:30:04,APP,CRC,253160
ORD000109,CL00723,2024-02-28T22:21:49,PARTNER,USD,3615.72
ORD000117,CL02780,2025-02-11T08:31:53,WEB,USD,2275.73
ORD000119,CL01040,2024-10-13T12:36:14,WEB,CRC,806844
ORD000123,CL01759,2024-03-01T04:53:27,TIENDA,CRC,1279287
ORD000126,CL02315,2024-06-24T19:02:10,APP,USD,2585.76
ORD000137,CL00258,2024-12-28T22:14:55,PARTNER,CRC,159904
ORD000140,CL00968,2025-12-26T08:40:51,PARTNER,USD,8037.05
ORD000143,CL02911,2025-05-04T04:25:50,APP,USD,3329.15
ORD000146,CL00739,2025-10-23T00:05:54,APP,USD,1512.73
ORD000149,CL02651,2024-02-10T00:45:14,TELEFONO,USD,1779.85
ORD000150,CL00900,2024-09-08T11:48:12,TELEFONO,USD,1274.15
ORD000151,CL00356,2025-08-29T07:24:54,WEB,USD,1603.28
ORD000152,CL01151,2025-02-13T03:59:43,TIENDA,USD,1090.13
ORD000155,CL01061,2024-10-16T22:05:27,PARTNER,USD,390.09
ORD000158,CL00081,2024-03-29T15:39:39,TELEFONO,USD,368.69
ORD000160,CL00898,2024-10-02T11:27:49,PARTNER,USD,2390.7
ORD000162,CL02440,2024-12-13T07:32:55,PARTNER,CRC,1031130
ORD000163,CL02472,2024-01-17T01:37:49,APP,CRC,1687140
ORD000165,CL00338,2025-07-09T14:53:41,PARTNER,CRC,664830
ORD000169,CL02086,2024-09-08T06:01:25,TIENDA,CRC,440092
ORD000177,CL02815,2025-10-17T19:44:01,WEB,CRC,1155882
ORD000178,CL00261,2025-09-23T10:52:34,TIENDA,USD,937.44
ORD000186,CL00064,2025-07-24T01:33:08,WEB,USD,4223.37
ORD000187,CL01336,2025-09-01T12:40:41,APP,CRC,743281
ORD000189,CL00077,2025-08-22T02:59:09,APP,CRC,709126
ORD000190,CL01849,2025-02-18T22:03:15,TELEFONO,CRC,1677759
ORD000193,CL00521,2024-08-24T13:02:24,TIENDA,CRC,528064
ORD000194,CL02731,2024-06-27T04:47:03,PARTNER,USD,5666.33
ORD000196,CL02417,2025-09-07T21:52:09,TELEFONO,USD,2000.81
ORD000198,CL02152,2024-06-25T01:33:55,PARTNER,USD,201.46
ORD000199,CL02471,2025-06-24T23:12:48,TELEFONO,USD,616.28
ORD000201,CL01165,2025-07-31T02:13:19,WEB,USD,991.91
ORD000202,CL02604,2025-07-10T15:08:02,TELEFONO,CRC,395445
ORD000205,CL02699,2025-01-08T07:40:59,WEB,CRC,1889554
ORD000212,CL01422,2024-03-21T08:22:24,APP,CRC,160675
ORD000214,CL01068,2024-10-04T22:51:39,TIENDA,CRC,475705
ORD000215,CL01937,2024-01-03T01:18:00,TELEFONO,USD,82.53
ORD000216,CL01277,2024-04-30T17:17:01,APP,USD,2191.51
ORD000217,CL01568,2025-02-07T05:49:47,WEB,USD,5179.93
ORD000218,CL01318,2024-06-10T19:44:21,WEB,CRC,1086345
ORD000219,CL00542,2024-07-23T01:59:12,TELEFONO,CRC,723073
ORD000221,CL02784,2024-04-30T19:44:39,WEB,CRC,806706
ORD000224,CL02461,2025-04-26T21:00:30,TIENDA,CRC,778002
ORD000226,CL00542,2025-02-21T05:15:20,TELEFONO,CRC,446720
ORD000232,CL00096,2025-09-14T08:21:10,APP,CRC,626164
ORD000243,CL03046,2024-11-03T22:25:37,APP,CRC,1833465
ORD000248,CL02432,2025-10-30T05:16:10,TIENDA,CRC,844395
ORD000253,CL00895,2024-07-27T02:26:56,TELEFONO,USD,1296.06
ORD000255,CL02982,2024-02-24T04:57:31,PARTNER,USD,2157.74
ORD000261,CL01181,2025-07-29T10:14:16,WEB,USD,1635.8
ORD000263,CL00264,2025-06-09T16:33:09,APP,USD,2215.26
ORD000264,CL02139,2024-02-20T12:44:04,APP,CRC,1849531
ORD000267,CL01460,2024-11-22T23:28:43,TELEFONO,CRC,770148
ORD000268,CL03079,2025-01-02T15:22:06,APP,CRC,2428329
ORD000269,CL01383,2025-06-17T13:51:33,APP,CRC,125949
ORD000271,CL03154,2025-06-08T18:39:30,PARTNER,USD,1541.58
ORD000275,CL00871,2024-10-02T21:37:00,TELEFONO,CRC,305070
ORD000276,CL01986,2025-08-12T15:08:53,PARTNER,CRC,167744
ORD000278,CL01450,2025-01-21T22:31:19,TELEFONO,USD,2223.64
ORD000280,CL02460,2024-05-23T10:33:17,TELEFONO,USD,2659.05
ORD000281,CL02724,2025-04-15T15:18:34,TIENDA,CRC,534512
ORD000282,CL03023,2024-09-30T21:33:46,APP,USD,595.05
ORD000285,CL02867,2024-01-03T12:25:11,TELEFONO,USD,291.88
ORD000286,CL02170,2024-04-02T14:34:32,APP,CRC,1002137
ORD000287,CL01280,2025-02-28T19:35:37,WEB,CRC,1026852
ORD000289,CL00232,2024-02-06T22:52:50,TIENDA,CRC,1720818
ORD000291,CL01854,2024-08-03T14:32:04,PARTNER,USD,4086.74
ORD000292,CL03122,2025-12-30T20:24:10,TIENDA,USD,2101.6
ORD000294,CL02242,2025-07-13T03:09:59,TELEFONO,CRC,124210
ORD000295,CL00109,2025-10-26T15:00:58,TIENDA,CRC,2340258
ORD000297,CL00994,2025-12-31T10:02:26,TIENDA,CRC,1844320
ORD000299,CL02590,2024-02-13T21:54:49,PARTNER,CRC,287862
ORD000300,CL02637,2024-04-05T16:30:39,TELEFONO,USD,2508.35
ORD000301,CL00313,2024-11-14T02:19:56,TIENDA,USD,67.86
ORD000304,CL02099,2024-10-25T08:26:30,TELEFONO,CRC,170812
ORD000306,CL03107,2025-05-25T16:42:13,WEB,CRC,1854946
ORD000307,CL02292,2024-08-01T22:02:08,TELEFONO,USD,1353.58
ORD000311,CL01657,2025-08-01T17:04:41,PARTNER,USD,1155.8
ORD000312,CL02864,2024-02-29T22:37:16,TELEFONO,USD,3688.23
ORD000318,CL00257,2025-04-13T09:54:25,PARTNER,CRC,1564855
ORD000329,CL00585,2025-03-14T18:42:12,APP,USD,680.65
ORD000334,CL00573,2025-11-01T00:06:42,TELEFONO,USD,156.9
ORD000335,CL01049,2025-07-01T09:13:14,TELEFONO,USD,1569.43
ORD000339,CL01134,2025-11-08T18:35:40,PARTNER,USD,4990.37
ORD000347,CL02687,2024-07-20T22:29:05,WEB,USD,369.64
ORD000351,CL03075,2025-02-19T06:58:52,APP,USD,4698.43
ORD000352,CL02724,2024-03-22T21:07:11,TIENDA,CRC,2165942
ORD000355,CL02326,2025-09-08T08:46:37,WEB,USD,985.83
ORD000356,CL00883,2025-05-02T21:26:53,TIENDA,USD,2273.88
ORD000360,CL01196,2024-05-27T03:54:49,APP,CRC,1125702
ORD000362,CL00476,2024-07-27T04:50:45,WEB,CRC,34959
ORD000364,CL01299,2024-05-19T15:59:44,WEB,USD,2561.94
ORD000366,CL02628,2024-06-04T03:22:18,WEB,USD,1751.25
ORD000368,CL01038,2024-12-18T10:10:20,APP,CRC,1052108
ORD000370,CL00126,2025-01-13T03:37:40,PARTNER,CRC,1158734
ORD000371,CL00755,2025-04-04T20:46:05,TIENDA,USD,3396.32
ORD000374,CL02614,2025-02-25T13:34:38,WEB,CRC,335512
ORD000375,CL02197,2024-05-24T00:30:26,APP,USD,2005.29
ORD000384,CL01324,2024-12-18T15:50:23,TELEFONO,CRC,57304
ORD000394,CL01193,2025-01-02T05:59:14,WEB,CRC,2172128
ORD000396,CL02459,2024-05-22T04:01:19,WEB,CRC,2530690
ORD000398,CL00497,2024-08-24T18:10:32,WEB,CRC,1178324
ORD000399,CL02362,2024-09-02T20:15:13,PARTNER,USD,2947.51
ORD000401,CL01450,2025-09-06T09:00:46,TIENDA,USD,1774.7
ORD000402,CL00560,2024-08-27T02:24:41,TIENDA,CRC,1607230
ORD000406,CL00541,2024-09-08T02:43:07,TIENDA,CRC,1918472
ORD000410,CL00587,2024-09-22T13:22:38,TELEFONO,CRC,1632193
ORD000412,CL03191,2024-10-08T21:55:01,TIENDA,CRC,284151
ORD000422,CL03138,2025-03-31T00:25:12,TIENDA,USD,764.02
ORD000424,CL02062,2024-10-01T04:24:52,PARTNER,USD,3634.28
ORD000427,CL01514,2024-04-05T18:59:13,PARTNER,USD,308.97
ORD000441,CL00032,2025-07-02T18:59:30,APP,USD,2289.53
ORD000442,CL03113,2025-05-28T09:08:20,APP,CRC,641782
ORD000449,CL02904,2024-06-04T13:00:01,TELEFONO,USD,587.8
ORD000450,CL02940,2024-08-01T21:16:54,TIENDA,CRC,1994912
ORD000455,CL02030,2024-04-27T12:41:12,WEB,USD,1776.62
ORD000461,CL00302,2024-03-31T01:22:43,TELEFONO,USD,273.4
ORD000463,CL01662,2025-05-12T13:30:44,WEB,CRC,2259078
ORD000470,CL00018,2025-09-09T05:16:17,TELEFONO,USD,3905.17
ORD000472,CL01604,2025-10-02T01:31:17,APP,USD,4056.85
ORD000475,CL00102,2025-12-15T10:31:56,WEB,CRC,589641
ORD000483,CL00808,2024-10-14T05:58:48,TELEFONO,USD,3476.31
ORD000491,CL02564,2024-03-23T18:14:20,WEB,USD,2906.82
ORD000494,CL02154,2024-05-01T16:50:41,TIENDA,CRC,1179477
ORD000497,CL00710,2024-08-08T08:50:14,TELEFONO,USD,1525.85
ORD000507,CL02025,2025-07-22T19:02:56,APP,CRC,1613091
ORD000508,CL03119,2025-02-10T01:15:41,WEB,CRC,317049
ORD000509,CL01672,2025-12-02T22:29:43,PARTNER,CRC,533012
ORD000512,CL01272,2024-06-12T04:00:06,APP,USD,2911.01
ORD000513,CL03082,2025-11-19T12:33:07,TIENDA,USD,3467.39
ORD000516,CL01102,2025-07-28T11:55:50,WEB,CRC,508754
ORD000519,CL02050,2025-03-01T04:54:27,APP,CRC,805822
ORD000523,CL02462,2025-02-10T17:47:26,APP,CRC,1308134
ORD000525,CL01140,2025-07-08T07:31:43,TELEFONO,USD,2745.05
ORD000532,CL00316,2025-05-19T06:40:51,PARTNER,CRC,88844
ORD000533,CL00689,2025-09-02T14:23:53,PARTNER,CRC,602356
ORD000535,CL02826,2025-12-28T18:41:37,TELEFONO,USD,2379.8
ORD000538,CL00922,2024-12-15T22:26:57,APP,USD,2061.01
ORD000539,CL02590,2024-06-06T04:58:20,PARTNER,USD,3459.51
ORD000541,CL01058,2024-04-10T06:46:49,TELEFONO,CRC,898350
ORD000542,CL02471,2024-09-05T00:57:49,TIENDA,CRC,2525440
