orden_id,producto_id,cantidad,precio_unit
ORD000001,SKU00441,5,15330
ORD000001,SKU00269,5,155784
ORD000001,SKU00350,5,228258
ORD000001,SKU00054,5,108453
ORD000002,SKU00234,3,255393
ORD000002,SKU00018,2,219537
ORD000002,SKU00545,1,235078
ORD000002,SKU00240,1,184231
ORD000003,SKU00302,3,106801
ORD000003,SKU00400,5,115781
ORD000004,SKU00380,5,96881
ORD000004,SKU00449,3,223349
ORD000004,SKU00175,5,181877
ORD000004,SKU00503,2,40105
ORD000004,SKU00337,5,53098
ORD000005,SKU00474,5,169.23
ORD000005,SKU00076,5,59.51
ORD000005,SKU00141,2,149.91
ORD000005,SKU00307,5,126.05
ORD000006,SKU00337,2,53098
ORD000006,SKU00102,4,29365
ORD000006,SKU00273,4,61068
ORD000007,SKU00223,2,336.46
ORD000007,SKU00031,5,119.51
ORD000008,SKU00252,5,10.11
ORD000008,SKU00504,1,55.19
ORD000008,SKU00082,1,461.69
ORD000008,SKU00282,5,42.62
ORD000008,SKU00345,5,34.52
ORD000009,SKU00324,4,49.57
ORD000009,SKU00152,5,325.08
ORD000009,SKU00436,2,134.65
ORD000010,SKU00013,4,298.25
ORD000010,SKU00327,1,289.81
ORD000010,SKU00200,1,322.89
ORD000010,SKU00130,1,354.38
ORD000011,SKU00486,1,484.88
ORD000011,SKU00315,2,358.86
ORD000011,SKU00138,4,83.0
ORD000011,SKU00323,1,469.14
ORD000011,SKU00358,5,56.85
ORD000012,SKU00126,2,482.1
ORD000012,SKU00044,3,76.64
ORD000012,SKU00291,2,92.51
ORD000012,SKU00336,4,100.73
ORD000012,SKU00063,2,21.35
ORD000013,SKU00389,2,166190
ORD000013,SKU00412,4,67527
ORD000014,SKU00252,1,5459
ORD000014,SKU00215,3,123352
ORD000014,SKU00362,5,56462
ORD000014,SKU00248,3,84153
ORD000014,SKU00062,4,71377
ORD000015,SKU00396,5,383.18
ORD000015,SKU00385,4,495.38
ORD000015,SKU00246,5,150.74
ORD000016,SKU00298,2,152.49
ORD000016,SKU00253,5,308.86
ORD000016,SKU00403,2,244.79
ORD000016,SKU00044,4,76.64
ORD000017,SKU00420,3,236811
ORD000017,SKU00005,2,154710
ORD000017,SKU00352,5,182638
ORD000017,SKU00256,1,53346
ORD000018,SKU00108,5,166.78
ORD000019,SKU00307,1,68067
ORD000019,SKU00420,1,236811
ORD000019,SKU00272,2,249701
ORD000019,SKU00044,5,41385
ORD000019,SKU00383,5,96238
ORD000020,SKU00430,5,386.24
ORD000020,SKU00214,1,128.31
ORD000020,SKU00433,3,168.29
ORD000020,SKU00138,3,83.0
ORD000021,SKU00325,4,80.95
ORD000021,SKU00217,4,69.35
ORD000021,SKU00023,4,79.09
ORD000021,SKU00422,3,418.67
ORD000021,SKU00046,5,179.23
ORD000022,SKU00522,1,12495
ORD000022,SKU00466,2,103696
ORD000022,SKU00277,3,126532
ORD000022,SKU00328,5,176898
ORD000022,SKU00360,4,2921
ORD000023,SKU00123,1,432.84
ORD000023,SKU00109,2,100.39
ORD000023,SKU00393,3,175.0
ORD000023,SKU00278,2,324.65
ORD000024,SKU00482,3,163290
ORD000024,SKU00454,5,46002
ORD000025,SKU00258,1,108885
ORD000026,SKU00525,1,144331
ORD000026,SKU00430,2,208569
ORD000027,SKU00269,1,288.49
ORD000028,SKU00462,1,334.31
ORD000028,SKU00473,3,66.82
ORD000028,SKU00138,3,83.0
ORD000029,SKU00221,2,265329
ORD000030,SKU00495,5,318.49
ORD000030,SKU00317,4,42.18
ORD000030,SKU00102,1,54.38
ORD000030,SKU00148,5,356.82
ORD000030,SKU00284,5,324.92
ORD000031,SKU00188,3,65512
ORD000031,SKU00182,1,69292
ORD000032,SKU00177,1,252039
ORD000032,SKU00430,1,208569
ORD000033,SKU00442,4,14974
ORD000033,SKU00102,1,29365
ORD000033,SKU00391,2,39684
ORD000033,SKU00221,5,265329
ORD000033,SKU00052,4,3018
ORD000034,SKU00344,2,331.69
ORD000035,SKU00420,1,236811
