orden_id,cliente_id,fecha,canal,moneda,total
ORD000001,CL00920,2024-08-02T12:08:37,TELEFONO,CRC,2539125
ORD000002,CL00119,2025-12-07T01:07:03,TELEFONO,CRC,1624562
ORD000003,CL02214,2025-08-31T13:42:33,PARTNER,CRC,899308
ORD000004,CL03181,2025-06-13T09:39:48,TELEFONO,CRC,2409537
ORD000005,CL03039,2024-04-23T18:03:11,APP,USD,2073.77
ORD000006,CL01851,2024-03-24T14:00:59,PARTNER,CRC,467928
ORD000007,CL03116,2024-06-12T16:25:33,WEB,USD,1270.47
ORD000008,CL02060,2024-12-15T13:54:34,WEB,USD,953.13
ORD000009,CL02582,2024-06-19T03:28:29,TELEFONO,USD,2092.98
ORD000010,CL00906,2025-01-17T02:40:53,PARTNER,USD,2160.08
ORD000011,CL02358,2024-09-03T18:05:00,APP,USD,2287.99
ORD000012,CL00242,2025-12-07T16:20:52,TELEFONO,USD,1824.76
ORD000013,CL01641,2024-03-12T10:59:44,TELEFONO,CRC,602488
ORD000014,CL00324,2024-08-10T22:22:32,TELEFONO,CRC,1195792
ORD000015,CL00371,2025-01-10T20:18:28,APP,USD,4651.12
ORD000016,CL00762,2024-12-31T11:50:56,WEB,USD,2645.42
ORD000017,CL01992,2024-07-05T14:01:54,APP,CRC,1986389
ORD000018,CL01548,2024-09-18T08:04:52,TIENDA,USD,833.9
ORD000019,CL02854,2025-04-17T10:40:57,APP,CRC,1492395
ORD000020,CL00006,2024-05-18T15:13:00,PARTNER,USD,2813.38
ORD000021,CL02771,2024-10-04T14:07:33,TELEFONO,USD,3069.72
ORD000022,CL02567,2025-12-09T00:36:11,APP,CRC,1495657
ORD000023,CL00557,2025-05-17T03:29:17,APP,USD,1807.92
ORD000024,CL02420,2025-05-30T16:57:04,TELEFONO,CRC,719880
ORD000025,CL00912,2024-08-27T06:25:18,TIENDA,CRC,108885
ORD000026,CL00953,2024-01-09T19:00:39,WEB,CRC,561469
ORD000027,CL02233,2024-05-10T12:08:22,PARTNER,USD,288.49
ORD000028,CL02684,2024-06-23T07:57:05,TELEFONO,USD,783.77
ORD000029,CL00272,2024-01-21T01:45:44,TIENDA,CRC,530658
ORD000030,CL01109,2025-01-15T07:53:35,WEB,USD,5224.25
ORD000031,CL01945,2024-06-03T23:24:16,TELEFONO,CRC,265828
ORD000032,CL02032,2024-11-01T04:11:18,WEB,CRC,460608
ORD000033,CL02186,2025-09-28T01:02:12,PARTNER,CRC,1507346
ORD000034,CL01838,2025-12-12T20:10:03,APP,USD,663.38
ORD000035,CL01602,2025-02-28T23:08:04,TELEFONO,CRC,350646
ORD000036,CL01905,2025-05-02T19:20:01,WEB,USD,2843.94
ORD000037,CL01891,2024-04-01T06:48:49,WEB,CRC,156362
ORD000038,CL02215,2025-01-24T18:02:47,TELEFONO,CRC,463124
ORD000039,CL00584,2024-07-09T03:01:51,PARTNER,CRC,961229
ORD000040,CL02242,2024-03-11T15:53:00,TIENDA,CRC,569870
ORD000041,CL01201,2024-05-14T05:23:09,WEB,CRC,578046
ORD000042,CL00742,2024-08-07T18:17:48,WEB,USD,1242.6
ORD000043,CL03039,2025-04-01T15:56:11,TIENDA,USD,1205.04
ORD000044,CL00387,2024-08-18T04:30:26,WEB,CRC,2159452
ORD000045,CL01566,2024-02-07T04:06:06,TELEFONO,USD,4051.96
ORD000046,CL03103,2025-12-20T09:46:38,TELEFONO,CRC,819068
ORD000047,CL01899,2025-01-23T01:58:00,TELEFONO,CRC,1837325
ORD000048,CL02693,2025-07-24T02:36:07,TELEFONO,USD,2158.67
ORD000049,CL02340,2025-06-25T06:25:38,APP,USD,2288.58
ORD000050,CL01840,2024-02-10T16:10:07,APP,CRC,277440
ORD000051,CL00271,2024-06-19T06:47:46,TIENDA,USD,1066.74
ORD000052,CL00007,2024-08-01T06:00:03,WEB,USD,2990.3
ORD000053,CL00020,2024-01-04T16:33:36,TELEFONO,USD,84.18
ORD000054,CL01664,2024-01-03T00:37:54,WEB,CRC,2472157
ORD000055,CL03032,2025-09-24T01:24:00,TELEFONO,CRC,1414748
ORD000056,CL00167,2024-02-21T00:58:38,TELEFONO,CRC,228468
ORD000057,CL02962,2024-09-07T14:05:59,WEB,USD,1987.3
ORD000058,CL03110,2025-08-10T09:09:01,APP,CRC,118242
ORD000059,CL00834,2024-11-27T07:17:26,TIENDA,USD,3026.0
ORD000060,CL01809,2024-05-31T22:03:06,WEB,USD,1526.71
ORD000061,CL02674,2024-08-15T16:28:38,PARTNER,USD,1309.65
ORD000062,CL01420,2025-05-27T02:31:16,PARTNER,USD,2975.14
ORD000063,CL01862,2024-01-18T00:18:05,APP,USD,1994.46
ORD000064,CL00074,2024-10-20T21:55:57,TIENDA,USD,85.4
ORD000065,CL02465,2024-06-26T07:03:16,TIENDA,CRC,135388
ORD000066,CL00524,2025-07-29T07:33:09,TIENDA,USD,835.44
ORD000067,CL00822,2024-05-10T18:47:59,TIENDA,USD,3974.04
ORD000068,CL00048,2025-05-24T23:27:27,PARTNER,USD,1879.89
ORD000069,CL01802,2025-03-05T07:54:40,PARTNER,CRC,508730
ORD000070,CL00361,2024-12-06T07:00:23,TIENDA,USD,1665.55
ORD000071,CL01728,2024-03-26T15:26:34,APP,USD,3059.8
ORD000072,CL00016,2025-06-05T12:54:26,TIENDA,CRC,3112296
ORD000073,CL01811,2025-06-06T08:50:39,PARTNER,CRC,1686064
ORD000074,CL00446,2025-06-06T09:32:36,TIENDA,CRC,1247511
ORD000075,CL00859,2024-11-10T01:19:46,TIENDA,CRC,917111
ORD000076,CL01462,2024-09-19T18:50:11,WEB,CRC,2088570
ORD000077,CL03171,2024-07-19T17:35:05,TELEFONO,USD,3980.69
ORD000078,CL01178,2025-05-27T16:51:11,WEB,CRC,1627591
ORD000079,CL00745,2024-04-03T05:52:56,PARTNER,CRC,800710
ORD000080,CL00121,2024-05-01T22:25:03,PARTNER,CRC,325596
ORD000081,CL00583,2024-04-12T22:46:41,TELEFONO,CRC,211572
ORD000082,CL00669,2024-03-04T22:12:06,TELEFONO,CRC,1967765
ORD000083,CL00986,2024-04-19T22:31:47,WEB,CRC,2211309
ORD000084,CL00404,2025-08-18T20:18:54,TIENDA,CRC,1196014
ORD000085,CL00916,2024-12-11T16:10:45,WEB,USD,764.91
ORD000086,CL02453,2024-02-27T22:14:29,WEB,CRC,150606
ORD000087,CL02264,2025-12-07T16:07:49,TELEFONO,CRC,816125
ORD000088,CL02596,2025-01-28T08:30:31,WEB,USD,1299.49
ORD000089,CL00746,2024-10-20T17:00:43,TELEFONO,CRC,749702
ORD000090,CL02741,2024-10-27T06:51:49,APP,USD,2613.45
ORD000091,CL02740,2025-01-26T17:22:54,TIENDA,CRC,851742
ORD000092,CL02827,2024-05-01T07:36:54,PARTNER,USD,33.22
ORD000093,CL03014,2024-04-28T13:57:19,APP,CRC,618840
ORD000094,CL00040,2024-08-10T06:23:02,TELEFONO,CRC,378221
ORD000095,CL02205,2024-08-15T18:08:18,TELEFONO,CRC,1688605
ORD000096,CL01296,2024-08-22T01:09:06,PARTNER,USD,1681.23
ORD000097,CL01352,2024-08-26T09:35:05,WEB,USD,3247.05
ORD000098,CL03149,2024-06-08T15:32:52,TELEFONO,CRC,707592
ORD000099,CL01011,2025-07-19T10:20:47,WEB,USD,6063.93
ORD000100,CL02039,2025-06-02T03:21:23,PARTNER,USD,2421.23
ORD000101,CL01199,2025-03-21T23:53:23,PARTNER,CRC,1133961
ORD000102,CL01887,2024-07-27T01:52:32,TIENDA,USD,3535.2
ORD000103,CL02723,2024-03-03T06:06:31,PARTNER,CRC,716814
ORD000104,CL01215,2024-03-15T09:32:54,PARTNER,CRC,204090
ORD000105,CL00708,2024-12-06T08:49:48,TIENDA,CRC,1528845
ORD000106,CL01230,2024-02-16T14:26:27,PARTNER,USD,114.24
ORD000107,CL02799,2024-07-30T04:30:04,APP,CRC,253160
ORD000108,CL01467,2025-09-10T04:13:57,TELEFONO,CRC,1703945
ORD000109,CL00723,2024-02-28T22:21:49,PARTNER,USD,3615.72
ORD000110,CL01943,2024-07-23T18:26:47,WEB,CRC,1914721
ORD000111,CL03018,2025-04-30T16:38:56,TIENDA,CRC,1281196
ORD000112,CL02886,2024-01-29T07:53:50,TELEFONO,CRC,1252874
ORD000113,CL03071,2024-05-13T14:46:13,APP,USD,1307.89
ORD000114,CL00436,2024-03-17T14:53:23,TIENDA,CRC,2031211
ORD000115,CL01524,2024-04-26T09:17:53,TELEFONO,CRC,2454417
ORD000116,CL00734,2024-07-10T00:57:11,TIENDA,USD,226.18
ORD000117,CL02780,2025-02-11T08:31:53,WEB,USD,2275.73
ORD000118,CL00795,2025-04-01T01:56:21,WEB,USD,1354.36
ORD000119,CL01040,2024-10-13T12:36:14,WEB,CRC,806844
ORD000120,CL02275,2024-01-06T17:14:36,WEB,CRC,757083
ORD000121,CL02253,2024-11-28T03:44:38,APP,USD,866.28
ORD000122,CL02216,2024-03-30T05:57:36,WEB,CRC,1490960
ORD000123,CL01759,2024-03-01T04:53:27,TIENDA,CRC,1279287
ORD000124,CL02409,2025-05-15T08:39:47,TELEFONO,CRC,221486
ORD000125,CL02072,2025-07-13T13:19:52,WEB,CRC,697692
ORD000126,CL02315,2024-06-24T19:02:10,APP,USD,2585.76
ORD000127,CL02345,2024-02-05T18:14:11,APP,CRC,608061
ORD000128,CL00688,2024-09-07T11:04:02,APP,CRC,660718
ORD000129,CL01162,2024-12-02T22:43:57,WEB,USD,1731.13
ORD000130,CL01009,2025-02-07T05:37:27,APP,USD,4864.19
ORD000131,CL00236,2025-03-30T10:48:38,TIENDA,CRC,1857795
ORD000132,CL01884,2024-11-12T18:23:17,APP,USD,606.32
ORD000133,CL02439,2024-10-01T20:05:36,APP,CRC,1641471
ORD000134,CL02880,2024-08-22T03:30:23,APP,CRC,766062
ORD000135,CL00620,2025-11-14T16:40:58,TIENDA,CRC,1205283
ORD000136,CL00019,2025-08-07T18:10:42,TELEFONO,CRC,426495
ORD000137,CL00258,2024-12-28T22:14:55,PARTNER,CRC,159904
ORD000138,CL01110,2024-08-02T23:49:08,WEB,USD,3655.81
ORD000139,CL01889,2025-10-15T04:16:29,TELEFONO,USD,1698.59
ORD000140,CL00968,2025-12-26T08:40:51,PARTNER,USD,8037.05
ORD000141,CL00813,2024-08-01T07:48:10,TELEFONO,CRC,1214025
ORD000142,CL02935,2025-07-09T21:18:27,PARTNER,USD,4540.29
ORD000143,CL02911,2025-05-04T04:25:50,APP,USD,3329.15
ORD000144,CL00329,2025-08-22T12:10:35,APP,USD,481.56
ORD000145,CL00752,2024-12-27T23:50:42,TIENDA,USD,4509.45
ORD000146,CL00739,2025-10-23T00:05:54,APP,USD,1512.73
ORD000147,CL02349,2024-06-28T19:00:50,WEB,CRC,996750
ORD000148,CL01404,2024-02-23T18:23:27,APP,USD,1056.75
ORD000149,CL02651,2024-02-10T00:45:14,TELEFONO,USD,1779.85
ORD000150,CL00900,2024-09-08T11:48:12,TELEFONO,USD,1274.15
ORD000151,CL00356,2025-08-29T07:24:54,WEB,USD,1603.28
ORD000152,CL01151,2025-02-13T03:59:43,TIENDA,USD,1090.13
ORD000153,CL00061,2025-08-09T10:14:29,APP,USD,2056.64
ORD000154,CL02758,2024-04-23T06:55:56,APP,CRC,805275
ORD000155,CL01061,2024-10-16T22:05:27,PARTNER,USD,390.09
ORD000156,CL01179,2024-04-29T23:12:29,APP,CRC,1625418
ORD000157,CL01029,2025-09-10T09:11:39,WEB,CRC,1283816
ORD000158,CL00081,2024-03-29T15:39:39,TELEFONO,USD,368.69
ORD000159,CL01176,2025-07-27T07:28:19,PARTNER,CRC,288252
ORD000160,CL00898,2024-10-02T11:27:49,PARTNER,USD,2390.7
ORD000161,CL01551,2024-05-20T13:35:36,WEB,CRC,901081
ORD000162,CL02440,2024-12-13T07:32:55,PARTNER,CRC,1031130
ORD000163,CL02472,2024-01-17T01:37:49,APP,CRC,1687140
ORD000164,CL01867,2025-06-01T16:16:17,APP,CRC,283348
ORD000165,CL00338,2025-07-09T14:53:41,PARTNER,CRC,664830
ORD000166,CL02267,2024-03-09T11:42:19,WEB,CRC,1533946
ORD000167,CL01262,2024-12-08T01:44:29,TELEFONO,CRC,164688
ORD000168,CL01489,2025-02-25T13:02:21,WEB,USD,1570.59
ORD000169,CL02086,2024-09-08T06:01:25,TIENDA,CRC,440092
ORD000170,CL02245,2024-05-18T05:47:11,TIENDA,CRC,1698471
ORD000171,CL01348,2024-08-11T16:48:21,TELEFONO,USD,3173.8
ORD000172,CL02064,2025-05-08T12:01:47,PARTNER,CRC,1277475
ORD000173,CL00566,2024-05-22T03:44:29,WEB,CRC,1322469
ORD000174,CL03124,2024-03-12T12:48:10,TELEFONO,USD,3669.49
